City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Terme,TR,41.2092,36.9739,46.96,91,100,6.2,light rain
268,Jaragua,BR,-15.7569,-49.3344,73.62,91,99,3.22,overcast clouds
269,San Patricio,US,28.017,-97.5169,54.28,57,100,12.86,overcast clouds
270,Abu Dhabi,AE,24.4667,54.3667,78.91,37,0,9.22,clear sky
271,Luang Prabang,LA,19.8856,102.1347,78.76,53,20,4.61,few clouds
272,Hobyo,SO,5.3505,48.5268,77.05,72,9,12.97,clear sky
273,Krasnoselkup,RU,65.7,82.4667,-9.98,90,99,12.33,overcast clouds
274,Karoi,ZW,-16.8099,29.6925,61.84,98,27,4.38,scattered clouds
275,Bandarbeyla,SO,9.4942,50.8122,74.48,70,0,9.01,clear sky
276,Hambantota,LK,6.1241,81.1185,84.54,84,20,11.5,few clouds
277,Nouakchott,MR,18.0858,-15.9785,64.33,48,96,10.6,overcast clouds
278,Konispol,AL,39.6589,20.1814,40.01,85,16,1.95,few clouds
279,Hirara,JP,24.8,125.2833,70.07,56,40,24.16,scattered clouds
280,Samarai,PG,-10.6167,150.6667,87.21,69,76,13.67,broken clouds
281,Roma,US,43.2128,-75.4557,35.74,86,100,16.11,overcast clouds
282,Anaconda,US,46.1285,-112.9423,31.19,89,92,5.59,light snow
283,Amazar,RU,53.858,120.875,27.95,74,55,3.56,broken clouds
284,Benicarlo,ES,40.4165,0.4271,49.24,73,34,3.44,scattered clouds
285,Bubaque,GW,11.2833,-15.8333,78.46,56,45,12.5,scattered clouds
286,Milkovo,RU,54.7167,158.6167,29.93,93,100,9.73,light snow
287,Salalah,OM,17.0151,54.0924,71.69,73,40,1.14,scattered clouds
288,Bathsheba,BB,13.2167,-59.5167,77.61,69,40,17.27,scattered clouds
289,Portree,GB,57.4129,-6.1942,36.86,73,2,9.04,clear sky
290,Pingliang,CN,35.5392,106.6861,51.78,53,3,3.18,clear sky
291,Kolda,SN,12.8833,-14.95,80.91,26,0,4.61,clear sky
292,Broken Hill,AU,-31.95,141.4333,73.11,49,88,21.85,overcast clouds
293,Mangrol,IN,21.1167,70.1167,75.79,61,39,11.36,scattered clouds
294,Mae Sot,TH,16.7167,98.5667,84.15,65,20,3.44,few clouds
295,Udachnyy,RU,66.4167,112.4,-6.56,83,100,4.7,overcast clouds
296,Grand Gaube,MU,-20.0064,57.6608,75.6,78,76,11.21,broken clouds
297,Pangai,TO,-19.8,-174.35,86.11,70,40,4.61,scattered clouds
298,La Paz,BO,-16.5,-68.15,49.98,87,75,5.75,broken clouds
299,Puerto Escondido,MX,15.85,-97.0667,78.84,70,90,7.92,overcast clouds
300,Villa Carlos Paz,AR,-31.4241,-64.4978,64.38,88,0,1.99,clear sky
301,Jacareacanga,BR,-6.2222,-57.7528,71.55,99,98,1.81,light rain
302,Alexandria,EG,31.2156,29.9553,55.72,78,100,4.79,overcast clouds
303,Alzamay,RU,55.5562,98.6644,35.15,86,100,1.32,overcast clouds
304,Zeya,RU,53.75,127.2667,25.54,73,100,2.82,overcast clouds
305,Kaitangata,NZ,-46.2817,169.8464,69.19,63,31,6.53,scattered clouds
306,Chara,RU,56.9064,118.2631,13.89,76,70,1.81,broken clouds
307,Thunder Bay,CA,48.4001,-89.3168,17.56,73,0,5.75,clear sky
308,Sarangani,PH,5.4033,125.4636,81.21,81,100,14.05,overcast clouds
309,Buala,SB,-8.145,159.5921,85.23,69,100,1.45,light rain
310,Evensk,RU,61.95,159.2333,21.33,72,100,17.76,overcast clouds
311,Kushmurun,KZ,52.4503,64.6311,-5.71,100,88,5.64,overcast clouds
312,Half Moon Bay,US,37.4636,-122.4286,60.84,47,0,13.8,clear sky
313,Margate,GB,51.3813,1.3862,39.9,59,0,5.99,clear sky
314,Muros,ES,42.7762,-9.0603,51.24,91,47,15.57,scattered clouds
